title,address,longitude,latitude,phone,time,disabled,location
CCB Private Banking,"10/F, CCB Tower, 3 Connaught Road Central",114.161469,22.281407,+852 3718 3779,Monday - Friday: 9:00a.m. - 5:00p.m.|Saturday: Closed|Sunday and Public Holiday: Closed,false,Hong Kong Island
Central Consumer Branch,6 Des Voeux Road Central,114.158771,22.280700,+852 3918 6666,Monday - Friday: 9:00a.m. - 5:00p.m.|Saturday: 9:00a.m. - 1:00p.m.|Sunday and Public Holiday: Closed,true,Hong Kong Island
Central CCB Tower Consumer Branch,1/F CCB Tower,114.161484,22.281501,+852 3918 6800,Monday - Friday: 9:00a.m. - 5:00p.m.|Saturday: 9:00a.m. - 1:00p.m.|Sunday and Public Holiday: Closed,true,Hong Kong Island
Central CCB Tower Consumer Branch,G/F CCB Tower,114.161484,22.281501,+852 3918 6800,Monday - Friday: 9:00a.m. - 5:00p.m.|Saturday: 9:00a.m. - 1:00p.m.|Sunday and Public Holiday: Closed,true,Hong Kong Island
Central Des Voeux Road Consumer Branch,99 Des Voeux Road Central,114.155779,22.284787,+852 3718 7690,Monday - Friday: 9:00a.m. - 5:00p.m.|Saturday: 9:00a.m. - 1:00p.m.|Sunday and Public Holiday: Closed,true,Hong Kong Island
Sheung Wan Des Voeux Road Consumer Branch,237 Des Voeux Road Central,114.152485,22.286803,+852 3718 7040,Monday - Friday: 9:00a.m. - 5:00p.m.|Saturday: 9:00a.m. - 1:00p.m.|Sunday and Public Holiday: Closed,true,Hong Kong Island
Sai Wan Consumer Branch,"Shop 1, G/F, 489 Queen’s Road West",114.133883,22.286711,+852 3718 3640,Monday - Friday: 9:00a.m. - 5:00p.m.|Saturday: 9:00a.m. - 1:00p.m.|Sunday and Public Holiday: Closed,true,Hong Kong Island
Wanchai Hennessy Road Consumer Branch,139 Hennessy Road,114.172777,22.277835,+852 3718 7233,Monday - Friday: 9:00a.m. - 5:00p.m.|Saturday: 9:00a.m. - 1:00p.m.|Sunday and Public Holiday: Closed,true,Hong Kong Island
Wanchai Hennessy Road Commercial Banking Office,"Unit C, 20/F, China Overseas Building, 139 Hennessy Road",114.172777,22.277835,+852 3918 6708,Monday - Friday: 9:00a.m. - 5:00p.m.|Saturday: Closed|Sunday and Public Holiday: Closed,false,Hong Kong Island
Wanchai Great Eagle Centre Consumer Branch,"Shop 121, 1/F, Great Eagle Centre",114.174815,22.280994,+852 3718 3900,Monday - Friday: 9:00a.m. - 5:00p.m.|Saturday: 9:00a.m. - 1:00p.m.|Sunday and Public Holiday: Closed,true,Hong Kong Island
