AddEn,AddSc,AddTc,DefaultFlag,LocLat,LocLon,NameEn,NameSc,NameTc,OpeningHours,Region,Remark,RemarkEn,RemarkSc,RemarkTc,Services,Tel,Times
"Shop 1, G/F and Portion of the Basement of Site 3, Aberdeen Centre, Aberdeen",香港仔中心商場第三期一號舖及地庫,香港仔中心商場第三期一號舖及地庫,N,22.247994,114.154127,Aberdeen,香港仔分行,香港仔分行,true,Hong Kong,,,,,"1,2,6,7,8,9",2554 5463,Within business hour of the mall / shopping centre
"Shop No. 10, 1st Floor of the Podium, Admiralty Centre, No. 18 Harcourt Road",夏慤道18號海富中心商場一樓10號舖,夏慤道18號海富中心商場一樓10號舖,N,22.27955,114.16509,Admiralty Centre,金鐘海富中心分行,金鐘海富中心分行,true,Hong Kong,,,,,"1,2,4,7,8,9",2529 1338,24 Service hours
"G/F and Basement, Cameron Commercial Centre, 468 Hennessy Road, Causeway Bay",銅鑼灣軒尼詩道468號金聯商業中心地下及地庫,銅鑼灣軒尼詩道468號金聯商業中心地下及地庫,N,22.2794777,114.182103,Causeway Bay,銅鑼灣分行,銅鑼灣分行,true,Hong Kong,,,,,"1,2,6,7,8,9",2891 2201,24 Service hours
"Shop A, G/F, Worldwide House, 19 Des Voeux Road Central",德輔道中19號環球大廈地下A號舖,德輔道中19號環球大廈地下A號舖,N,22.282445,114.157761,Central,中區分行,中區分行,true,Hong Kong,,,,,"1,3,6,7,8,9",2521 8134,24 Service hours
"Shop No. 15-22, G/F and basement, Empire Apartments, Nos. 293-299 King's Road",北角英皇道293-299號璇宮大廈地下15-22號舖及地庫,北角英皇道293-299號璇宮大廈地下15-22號舖及地庫,N,22.290471,114.195896,Fortress Hill,炮台山分行,炮台山分行,true,Hong Kong,,,,,"1,2,4,6,7,8,9",2922 3389,24 Service hours
"Shop B, G/F, Everbright Centre, 108 Gloucester Road",告士打道108號光大中心地下B號舖,告士打道108號光大中心地下B號舖,Y,22.279153,114.173816,Gloucester Road,告士打道分行,告士打道分行,true,Hong Kong,,,,,"1,2,5,6,7,8,9",2507 8866,24 Service hours
"Shop A, G/F, Kam Yuk Mansion, No. 13 Yuk Sau Street, Happy Valley",跑馬地毓秀街13號金毓大廈地下A號舖,跑馬地毓秀街13號金毓大廈地下A號舖,N,22.268508,114.185611,Happy Valley,跑馬地分行,跑馬地分行,true,Hong Kong,,,,,"1,2,7",2572 0708,24 Service hours
"Unit G59, G/F, Heng Fa Chuen Paradise Mall, 100 Shing Tai Road, Chaiwan",柴灣盛泰街100號杏花邨杏花新城地下G59號,柴灣盛泰街100號杏花邨杏花新城地下G59號,N,22.276811,114.239901,Heng Fa Chuen,杏花邨分行,杏花邨分行,true,Hong Kong,,,,,"1,7",2558 7485,24 Service hours
"164 Johnston Road, Wanchai (Opposite to Tai Yau Plaza)",灣仔莊士敦道164號(大有廣場對面),灣仔莊士敦道164號(大有廣場對面),N,22.276652,114.174592,Johnston Road,莊士敦道分行,莊士敦道分行,true,Hong Kong,,,,,"1,7,8,9",2572 8849,24 Service hours
"Shop A2, G/F, & Unit A, 1/F, Man Kwong Court, 12 Smithfield Road",士美菲路12號文光閣地下A2號舖及1樓A室,士美菲路12號文光閣地下A2號舖及1樓A室,N,22.282188,114.128468,Kennedy Town,堅尼地城分行,堅尼地城分行,true,Hong Kong,,,,,"1,2,6,7,8,9",2849 2280,24 Service hours
