id,CountryID,City,DistrictID,District,Name,Addr,Remark,InstantCashDeposit,RMBCashWithrawal,ChequeDeposit,PassbookUpdate,BarrierFree,ATM1,ATM2,ATM3,ATM4,ATM5,ATM6,ATM7,ATM8,ATM9,ATM10,lat,lng
10001,Hong Kong,Hong Kong Island,Hong Kong Island Central and Western,Central and Western,Admiralty - Central Government Offices,"(Restricted area) Area A, 1/F, Central Government Offices, 2 Tim Mei Avenue, Admiralty",Service hours: 24 hours,,Y,,,Y,6296,,,,,,,,,,22.280457,114.165213
10002,Hong Kong,Hong Kong Island,Hong Kong Island Central and Western,Central and Western,Admiralty - United Centre,"Shop 1007 & 1008, United Centre, 95 Queensway, Admiralty",Service hours: 6:00 am - 10:00 pm,Y,,Y,Y,Y,1366,1367,,,,,,,,,22.278578,114.165362
10003,Hong Kong,Hong Kong Island,Hong Kong Island Central and Western,Central and Western,Central - Des Voeux Road Central,"10 Des Voeux Road Central, Central","Service hours: Monday - Friday (9:00 am - 5:00 pm), Sat (9:00 am - 1:00 pm)",Y,Y,,Y,,0147,0148,0149,,,,,,,,22.280903,114.15821
10004,Hong Kong,Hong Kong Island,Hong Kong Island Central and Western,Central and Western,Central - Entertainment Building,"Open Space outside the Shop 2E & F, 2/F, Entertainment Building, 30 Queen's Road Central, Central",Service hours: 24 hours,,,,,,7716,,,,,,,,,,22.281551,114.156375
10005,Hong Kong,Hong Kong Island,Hong Kong Island Central and Western,Central and Western,Mid-Levels - Bonham Road,"Shop No. 1-3, Ka Fu Building, 19-27 Bonham Road, Mid-levels",Service hours: 24 hours,Y,Y,Y,Y,,0686,0687,,,,,,,,,22.284571,114.142538
10006,Hong Kong,Hong Kong Island,Hong Kong Island Central and Western,Central and Western,Mid-Levels - Caine Road,"Shop C, G/F, Cameo Court, 63-69 Caine Road, Mid-levels",Service hours: 24 hours,Y,,Y,Y,,0846,,,,,,,,,,22.281327,114.152223
10007,Hong Kong,Hong Kong Island,Hong Kong Island Central and Western,Central and Western,Pokfulam - The University of Hong Kong,"Shop P0030, G/F, Centennial Campus, The University of Hong Kong, Pok Fu Lam",Service hours: 24 hours,Y,Y,Y,Y,Y,0766,0767,,,,,,,,,22.283199,114.134286
10008,Hong Kong,Hong Kong Island,Hong Kong Island Central and Western,Central and Western,Sheung Wan - Shun Tak Centre,"Shops 296A and 296B, 2/F, Shun Tak Centre, 200 Connaught Road Central, Sheung Wan",Service hours: 24 hours,Y,Y,Y,Y,Y,1476,1477,,,,,,,,,22.287926,114.151853
10009,Hong Kong,Hong Kong Island,Hong Kong Island Central and Western,Central and Western,Western District - Shek Tong Tsui,"Shop I & J, G/F, Sun On Building, 484-496 Queen's Road West",Service hours: 24 hours,Y,Y,Y,,,0776,,,,,,,,,,22.285794,114.135473
10010,Hong Kong,Hong Kong Island,Hong Kong Island Eastern,Eastern,Chai Wan - Chai Wan Road,"G/F, 345 Chai Wan Road, Chai Wan",Service hours: 24 hours,Y,,Y,Y,,0446,,,,,,,,,,22.264279,114.240392
