branch,address,phone,region,24_hours,monday_to_friday,saturday,sunday_and_public_holiday
Main Branch ,"151 Des Voeux Road, Central, Hong Kong",2852 0888,Hong Kong,Y,N/A,N/A,N/A
Western Branch ,"G/F, 359-361 Queen's Road Central, Hong Kong",3982 9973,Hong Kong,Y,N/A,N/A,N/A
Causeway Bay Branch ,"472 Hennessy Road, Causeway Bay, Hong Kong",3982 9974,Hong Kong,Y,N/A,N/A,N/A
Happy Valley Branch ,"29 Wong Nei Chung Road, Happy Valley, Hong Kong",3982 9975,Hong Kong,Y,N/A,N/A,N/A
Kennedy Town Branch ,"86 Belcher's Street, Kennedy Town, Hong Kong",3982 9976,Hong Kong,Y,N/A,N/A,N/A
Quarry Bay Branch ,"1014 King's Road, Quarry Bay, Hong Kong",3982 9980,Hong Kong,Y,N/A,N/A,N/A
Des Voeux Road West Branch ,"334 Des Voeux Road West, Hong Kong",3982 9984,Hong Kong,Y,N/A,N/A,N/A
Aberdeen Branch ,"Shop A, 171 Aberdeen Main Road, Aberdeen, Hong Kong",3982 9993,Hong Kong,Y,N/A,N/A,N/A
North Point Branch ,"351 King's Road, North Point, Hong Kong",3982 9996,Hong Kong,Y,N/A,N/A,N/A
Sai Wan Ho Branch ,"63 Shaukeiwan Road, Sai Wan Ho, Hong Kong",3982 9999,Hong Kong,Y,N/A,N/A,N/A
Wanchai Branch ,"123 Johnston Road, Wanchai, Hong Kong",3982 9903,Hong Kong,Y,N/A,N/A,N/A
Causeway Centre Branch ,"Shop Nos 9-10, Ground Floor, Causeway Centre, 28 Harbour Road, Wanchai, Hong Kong",3982 9908,Hong Kong,Y,N/A,N/A,N/A
Sunning Road Branch ,"8 Sunning Road, Causeway Bay, Hong Kong",3982 9914,Hong Kong,Y,N/A,N/A,N/A
Yaumati Branch ,"309 Nathan Road, Yaumati, Kowloon",3982 9978,Kowloon,Y,N/A,N/A,N/A
Ferry Point Branch ,"Offices B-D, 10/F and Shops D-F, G/F, Best-O-Best Commercial Centre, 32-36 Ferry Street, Yaumati, Kowloon",3982 9979,Kowloon,Y,N/A,N/A,N/A
Homantin Branch ,"G/F-2/F, 67B Waterloo Road, Homantin, Kowloon",3982 9981,Kowloon,Y,N/A,N/A,N/A
Nathan Road Branch ,"570 Nathan Road, Mongkok, Kowloon",3982 9982,Kowloon,Y,N/A,N/A,N/A
Laichikok Road Branch ,"236 Laichikok Road, Shamshuipo, Kowloon",3982 9983,Kowloon,Y,N/A,N/A,N/A
Jordan Road Branch ,"20 Jordan Road, Yaumati, Kowloon",3982 9985,Kowloon,Y,N/A,N/A,N/A
