id,name,address,lat,lng,tel,fax
1,Management and Administration,"Shanghai Commercial Bank Tower, 12 Queen&acute;s Road Central, Hong Kong",22.280499,114.157612,2841 5415,2810 4623
2,Central Head Office,"Lobby Floor, Shanghai Commercial Bank Tower, 12 Queen&acute;s Road Central, Hong Kong",22.280499,114.157612,2841 5222,2521 8056
3,Central Head Office,"Lobby Floor, Shanghai Commercial Bank Tower, 12 Queen&acute;s Road Central, Hong Kong",22.280499,114.157612,2841 5222,2521 8056
4,Central Head Office,"Lobby Floor, Shanghai Commercial Bank Tower, 12 Queen&acute;s Road Central, Hong Kong",22.280499,114.157612,2841 5222,2521 8056
5,Central Head Office,"Lobby Floor, Shanghai Commercial Bank Tower, 12 Queen&acute;s Road Central, Hong Kong",22.280499,114.157612,2841 5222,2521 8056
6,Central Head Office,"3rd Floor, Shanghai Commercial Bank Tower, 12 Queen&acute;s Road Central, Hong Kong",22.280499,114.157612,2841 5222,2521 8056
7,Central Head Office,"3rd Floor, Shanghai Commercial Bank Tower, 12 Queen&acute;s Road Central, Hong Kong",22.280499,114.157612,2841 5222,2521 8056
8,Aberdeen Branch,"118 Aberdeen Main Road, Aberdeen",22.247439,114.156023,2553 9218,2873 4025
9,Aberdeen Branch,"118 Aberdeen Main Road, Aberdeen",22.247439,114.156023,2553 9218,2873 4025
10,Aberdeen Branch,"118 Aberdeen Main Road, Aberdeen",22.247439,114.156023,2553 9218,2873 4025
11,Causeway Bay Branch,"18 Pennington Street, Causeway Bay",22.278362,114.186219,2576 4377,2577 7949
12,Causeway Bay Branch,"18 Pennington Street, Causeway Bay",22.278362,114.186219,2576 4377,2577 7949
13,Causeway Bay Branch,"18 Pennington Street, Causeway Bay",22.278362,114.186219,2576 4377,2577 7949
14,Causeway Bay Branch,"18 Pennington Street, Causeway Bay",22.278362,114.186219,2576 4377,2577 7949
15,Connaught Road Branch,"G/F & 1/F Southland Building, 48 Connaught Road Central, Central, Hong Kong",22.284955,114.156061,2232 9788,2310 8310
16,Connaught Road Branch,"G/F & 1/F Southland Building, 48 Connaught Road Central, Central, Hong Kong",22.284955,114.156061,2232 9788,2310 8310
