code,districtName,districtCode,name,latitude,longitude,address,service
_central_western_district,Central & Western District,hong_kong_district,Central District Branch,22.280249,114.160161,"2A Des Voeux Road Central, Hong Kong",ATM_RMB
_central_western_district,Central & Western District,hong_kong_district,Bonham Road Branch,22.2844809,114.1409265,"63 Bonham Road, Hong Kong",ATM_RMB
_central_western_district,Central & Western District,hong_kong_district,Shek Tong Tsui Branch,22.2862301,114.1345169,"534 Queen&apos;s Road West,  Shek Tong Tsui, Hong Kong",ATM_RMB
_central_western_district,Central & Western District,hong_kong_district,Kennedy Town Branch,22.2835392,114.129382,"Harbour View Garden, 2-2F Catchick Street, Kennedy Town, Hong Kong","ATM_RMB,CASH_DEPOSIT_DUAL_CURRENCY"
_central_western_district,Central & Western District,hong_kong_district,Connaught Road Central Branch,22.282915,114.157785,"13-14 Connaught Road Central, Hong Kong",ATM_RMB
_central_western_district,Central & Western District,hong_kong_district,Caine Road Branch,22.2808553,114.1526749,"57 Caine Road, Hong Kong",ATM_RMB
_central_western_district,Central & Western District,hong_kong_district,Des Voeux Road West Branch,22.2878895,114.1445758,"111-119 Des Voeux Road West, Hong Kong",ATM_RMB
_central_western_district,Central & Western District,hong_kong_district,Gilman Street Branch,22.2852041,114.154669,"136 Des Voeux Road Central, Hong Kong",ATM_RMB
_central_western_district,Central & Western District,hong_kong_district,Wyndham Street Branch,22.2812076,114.1564853,"G/F, South China Building, 1-3 Wyndham Street, Central, Hong Kong",ATM_RMB
_central_western_district,Central & Western District,hong_kong_district,Western District Branch,22.28681066270472,114.13728140294552,"386-388 Des Voeux Road West, Hong Kong","ATM_RMB,CASH_DEPOSIT_DUAL_CURRENCY"
_central_western_district,Central & Western District,hong_kong_district,First Street Branch,22.2865402,114.1425311,"55A First Street, Sai Ying Pun, Hong Kong",ATM_RMB
_central_western_district,Central & Western District,hong_kong_district,United Centre Branch,22.278421,114.165361,"Shop 1021, United Centre, 95 Queensway, Hong Kong",ATM_RMB
_central_western_district,Central & Western District,hong_kong_district,Shun Tak Centre Branch,22.288101,114.1512204,"Shop 225, 2/F, Shun Tak Centre, 200 Connaught Road Central, HK",ATM_RMB
_central_western_district,Central & Western District,hong_kong_district,Bank of China Tower Branch,22.27925,114.161572,"1 Garden Road, Hong Kong",ATM_RMB
_central_western_district,Central & Western District,hong_kong_district,Central District (Wing On House) Branch,22.283852,114.1564086,"B/F-2/F, Wing on House, 71 Des Voeux Road Central, Hong Kong","ATM_RMB,CASH_DEPOSIT_DUAL_CURRENCY"
_central_western_district,Central & Western District,hong_kong_district,Queen&apos;s Road West (Sheung Wan) Branch,22.2864297,114.1485646,"2-12 Queen&apos;s Road West, Sheung Wan, Hong Kong",ATM_RMB
