title,pointLeft,pointRight,phone,time,disabled,location
CCB Private Banking,114.161469,22.281407,+852 3718 3779,Monday - Friday: 9:00a.m. - 5:00p.m.|Saturday: Closed|Sunday and Public Holiday: Closed,false,Hong Kong Island
Central Consumer Branch,114.158771,22.280700,+852 3918 6666,Monday - Friday: 9:00a.m. - 5:00p.m.|Saturday: 9:00a.m. - 1:00p.m.|Sunday and Public Holiday: Closed,true,Hong Kong Island
Central CCB Tower Consumer Branch,114.161484,22.281501,+852 3918 6800,Monday - Friday: 9:00a.m. - 5:00p.m.|Saturday: 9:00a.m. - 1:00p.m.|Sunday and Public Holiday: Closed,true,Hong Kong Island
Central CCB Tower Consumer Branch,114.161484,22.281501,+852 3918 6800,Monday - Friday: 9:00a.m. - 5:00p.m.|Saturday: 9:00a.m. - 1:00p.m.|Sunday and Public Holiday: Closed,true,Hong Kong Island
Central Des Voeux Road Consumer Branch,114.155779,22.284787,+852 3718 7690,Monday - Friday: 9:00a.m. - 5:00p.m.|Saturday: 9:00a.m. - 1:00p.m.|Sunday and Public Holiday: Closed,true,Hong Kong Island
Sheung Wan Des Voeux Road Consumer Branch,114.152485,22.286803,+852 3718 7040,Monday - Friday: 9:00a.m. - 5:00p.m.|Saturday: 9:00a.m. - 1:00p.m.|Sunday and Public Holiday: Closed,true,Hong Kong Island
Sai Wan Consumer Branch,114.133883,22.286711,+852 3718 3640,Monday - Friday: 9:00a.m. - 5:00p.m.|Saturday: 9:00a.m. - 1:00p.m.|Sunday and Public Holiday: Closed,true,Hong Kong Island
Wanchai Hennessy Road Consumer Branch,114.172777,22.277835,+852 3718 7233,Monday - Friday: 9:00a.m. - 5:00p.m.|Saturday: 9:00a.m. - 1:00p.m.|Sunday and Public Holiday: Closed,true,Hong Kong Island
Wanchai Hennessy Road Commercial Banking Office,114.172777,22.277835,+852 3918 6708,Monday - Friday: 9:00a.m. - 5:00p.m.|Saturday: Closed|Sunday and Public Holiday: Closed,false,Hong Kong Island
Wanchai Great Eagle Centre Consumer Branch,114.174815,22.280994,+852 3718 3900,Monday - Friday: 9:00a.m. - 5:00p.m.|Saturday: 9:00a.m. - 1:00p.m.|Sunday and Public Holiday: Closed,true,Hong Kong Island
Wanchai Johnston Road Consumer Branch,114.174233,22.276555,+852 3718 7300,Monday - Friday: 9:00a.m. - 5:00p.m.|Saturday: 9:00a.m. - 1:00p.m.|Sunday and Public Holiday: Closed,true,Hong Kong Island
Causeway Bay Plaza Consumer Branch,114.18281,22.280269,+852 3718 7680,Monday - Friday: 9:00a.m. - 5:00p.m.|Saturday: 9:00a.m. - 1:00p.m.|Sunday and Public Holiday: Closed,true,Hong Kong Island
Causeway Bay Plaza CCB (Asia) Personal Loan Center,114.18281,22.280269,+852 3718 7928,Monday - Friday: 9:00a.m. - 7:00p.m.|Saturday: 9:00a.m. - 1:00p.m.|Sunday and Public Holiday: Closed,false,Hong Kong Island
Causeway Bay Jardine's Bazaar Consumer Branch,114.185488,22.279268,+852 3718 3520,Monday - Friday: 9:00a.m. - 5:00p.m.|Saturday: 9:00a.m. - 1:00p.m.|Sunday and Public Holiday: Closed,true,Hong Kong Island
Happy Valley Consumer Branch,114.185714,22.269323,+852 3918 6600,Monday - Friday: 9:00a.m. - 5:00p.m.|Saturday: 9:00a.m. - 1:00p.m.|Sunday and Public Holiday: Closed,false,Hong Kong Island
North Point Consumer Branch,114.19813,22.290552,+852 3718 3500,Monday - Friday: 9:00a.m. - 5:00p.m.|Saturday: 9:00a.m. - 1:00p.m.|Sunday and Public Holiday: Closed,true,Hong Kong Island
Taikoo Shing Consumer Branch,114.217408,22.286766,+852 3718 7380,Monday - Friday: 9:00a.m. - 5:00p.m.|Saturday: 9:00a.m. - 1:00p.m.|Sunday and Public Holiday: Closed,false,Hong Kong Island
Shau Kei Wan Consumer Branch,114.228628,22.27845,+852 3718 7000,Monday - Friday: 9:00a.m. - 5:00p.m.|Saturday: 9:00a.m. - 1:00p.m.|Sunday and Public Holiday: Closed,true,Hong Kong Island
Aberdeen Consumer Branch,114.154435,22.248157,+852 3918 6836,Monday - Friday: 9:00a.m. - 5:00p.m.|Saturday: 9:00a.m. - 1:00p.m.|Sunday and Public Holiday: Closed,true,Hong Kong Island
Tsimshatsui Commercial Banking Office,114.168264,22.297038,+852 2903 8366,Monday - Friday: 9:00a.m. - 5:00p.m.|Saturday: Closed|Sunday and Public Holiday: Closed,false,Kowloon
Tsimshatsui CCB (Asia) Personal Loan Center,114.173241,22.299212,+852 3918 6388,Monday - Friday: 9:00a.m. - 7:00p.m.|Saturday: 9:00a.m. - 1:00p.m.|Sunday and Public Holiday: Closed,false,Kowloon
Tsimshatsui Hankow Road Consumer Branch,114.171033,22.296613,+852 3718 3680,Monday - Friday: 9:00a.m. - 5:00p.m.|Saturday: 9:00a.m. - 1:00p.m.|Sunday and Public Holiday: Closed,true,Kowloon
Tsimshatsui Humphreys Avenue Consumer Branch,114.172854,22.298359,+852 3718 7166,Monday - Friday: 9:00a.m. - 5:00p.m.|Saturday: 9:00a.m. - 1:00p.m.|Sunday and Public Holiday: Closed,true,Kowloon
Jordan Consumer Branch,114.171705,22.306042,+852 3718 3999,Monday - Friday: 9:00a.m. - 5:00p.m.|Saturday: 9:00a.m. - 1:00p.m.|Sunday and Public Holiday: Closed,true,Kowloon
Yaumati Consumer Branch,114.176004,22.314332,+852 3718 7200,Monday - Friday: 9:00a.m. - 5:00p.m.|Saturday: 9:00a.m. - 1:00p.m.|Sunday and Public Holiday: Closed,false,Kowloon
Mongkok Small Enterprise and Personal Loan Center,114.171162,22.315133,+852 3718 7568,Monday - Friday: 9:00a.m. - 7:00p.m.|Saturday: 9:00a.m. - 1:00p.m.|Sunday and Public Holiday: Closed,false,Kowloon
