branch,address,district
Hong Kong Main Branch#,"Chong Hing Bank Centre, 24 Des Voeux Rd., Central, HK",Central & Western District
Western branch,"347-349 Des Voeux Rd., Western, HK",Central & Western District
Sai Ying Pun branch,"81-85 Des Voeux Rd., Western, HK",Central & Western District
Aberdeen branch,"166-168 Aberdeen Main Rd., Aberdeen, HK",Southern District
Wan Chai branch#,"265-267 Hennessy Rd., Wanchai, HK",Wan Chai District
Causeway Bay branch#,"488 Jaffe Rd., Causeway Bay, HK",Wan Chai District
North Point branch,"376 King's Rd., North Point, HK",Eastern District
Shau Kei Wan branch,"203-205 Shau Kei Wan Rd., HK",Eastern District
Tsim Sha Tsui branch#,"16 Granville Rd., Tsim Sha Tsui, Kln",Yau Tsim Mong District
Mong Kok branch#,"591 Nathan Rd., Mongkok, Kln",Yau Tsim Mong District
Jordan branch,"G/F, No.120 Woosung St., Jordan, Kln",Yau Tsim Mong District
Sham Shui Po branch,"144-148 Tai Po Rd., Sham Shui Po, Kln",Sham Shui Po District
Lai Chi Kok Road branch,"139 Lai Chi Kok Rd., Tai Kok Tsui, Kln",Sham Shui Po District
Castle Peak Road branch,"285-287 Castle Peak Rd., Cheung Sha Wan, Kln",Sham Shui Po District
Lai Chi Kok Road - Liberte Place,"Adjacent to Shop No. 133, 1/F Liberte Place, 833 Lai Chi Kok Road, Kln",Sham Shui Po District
Kowloon City branch,"31-33 Nga Tsin Wai Rd., Kowloon City, Kln",Kowloon City District
To Kwa Wan branch,"34-34A Tam Kung Rd., To Kwa Wan, Kln",Kowloon City District
San Po Kong branch,"55-57 Yin Hing St., San Po Kong, Kln",Wong Tai Sin District
Tsz Wan Shan branch,"60-64 Sheung Fung St., Tsz Wan Shan, Kln",Wong Tai Sin District
Kwun Tong - Shun Lee Estate branch,"Lee Yat House, Shun Lee Estate, Kln",Kwun Tong District
Kwun Tong branch,"31-33 Mut Wah St., Kwun Tong, Kln",Kwun Tong District
How Ming Street,"114 How Ming St., Kwun Tong, Kln",Kwun Tong District
Lam Tin - Tak Tin Estate branch,"No. 207, Tak Tin Shopping Centre, Tak Tin Estate, Lam Tin, Kln",Kwun Tong District
Yau Tong - Lei Yue Mun branch,"Shop No. LG1, Lower Ground Floor, Lei Yue Mun Plaza, Yau Tong, Kln",Kwun Tong District
Kowloon Bay branch,"Shop Unit 8, G/F, Chevalier Commercial Centre, No. 8 Wang Hoi Rd., Kowloon Bay, Kln",Kwun Tong District
Tsuen Wan branch,"298 Sha Tsui Rd., Tsuen Wan, N.T.",Tsuen Wan District
Yuen Long branch,"99-109 Castle Peak Rd., Yuen Long, N.T.",Yuen Long District
Tin Shui Wai - Tin Chak Estate branch,"Shop No. 218, 2/F, Tin Chak Shopping Centre, Tin Chak Estate, Tin Shui Wai, N.T.",Yuen Long District
Sheung Shui branch#,"71 San Fung Avenue, Sheung Shui, N.T.",North District
Fanling branch,"2 Wo Lung St., Luen Wo Market, Fanling, N.T.",North District
Tai Po - Tai Wo Plaza branch,"Shop No. 101 I, Level 1, Tai Wo Plaza, No. 12 Tai Wo Road, Tai Po,  N.T.",Tai Po District
Ma On Shan - Heng On Estate branch,"Level 3, Commercial Centre, Heng On Estate, Ma On Shan, N.T.",Shatin District
Shatin - Lek Yuen Estate branch,"Shop No. 212, Lek Yuen Plaza, Lek Yuen Estate, Shatin, N.T.",Shatin District
Lai King - Cho Yiu Cheun branch,"Block C, King Cho Rd., Cho Yiu Chuen, Lai King, Kln",Kwai Tsing District
Tsing Yi - Cheung Fat Estate branch,"Shop 206A, 2/F, Cheung Fat Plaza, Cheung Fat Estate, Tsing Yi, N.T.",Kwai Tsing District
"Kwai Chung - Kwai Chung Shopping Centre, Kwai Chung Estate ","Automatic Teller Machine No. 5, Podium Level 2, Kwai Chung Shopping Centre, Kwai Chung Estate, N.T.",Kwai Tsing District
Tuen Mun - Glorious Garden branch,"Shop No. 82 Glorious Garden, 45 Lung Mun Rd., Tuen Mun, N.T.",Tuen Mun District
Tuen Mun - Tuen Mun Hong Lai Garden branch,"G/F, Hong Lai Garden, 117 Heung Sze Wui Road, Tuen Mun, Hong Kong ",Tuen Mun District
Tseung Kwan O - Sheung Tak Estate branch,"Shop No. 237, Sheung Tak Shopping Centre, Sheung Tak Estate, Tseung Kwan O, N.T.",Sai Kung District
Tung Chung - Yat Tung Estate branch#,"Shop Nos. 1&2, G/F, Yat Tung Shopping Centre, Yat Tung Estate, Tung Chung, N.T.",Island District
