ACOP,ATM,ATMFCM,ATMRMB,Address,CDM,CHQ,CHQCUT,CS,Code,Disable,HourAMB,HourRemark,HourSat,HourSun,HourWeekdays,Name,Outlet,SDB,SEC,SubDistrict,WM
True,True,False,False,77 Belcher's Street,True,True,5:30pm,True,296,True,24-hours,Accounts Opening or Enquiry (Personal) / Counter Service /  Wealth Management,09:00 - 13:00,,09:00 - 17:00,Kennedy Town Branch,BR,False,False,H01,True
False,True,False,True,MTR Kennedy Town Station (Near Escalator to Exit A) (With Voice Navigation ATM),True,True,6:00pm,False,NA,True,Around 06:00 - midnight 01:00 (Follows Station First/Last Trains Service Hours),,,,,MTR Kennedy Town Station,,False,False,H01,False
False,True,False,False,"Shop 4, G/F, 363 Des Voeux Road West (With Voice Navigation ATM)",True,True,5:30pm,False,NA,True,24 Hours,,,,,Shek Tong Tsui Automated Banking Centre,,False,False,H01,False
False,True,False,True,MTR HKU Station (Concourse) (With Voice Navigation ATM),True,True,6:00pm,False,NA,True,Around 06:00 - midnight 01:00 (Follows Station First/Last Trains Service Hours),,,,,MTR HKU Station,,False,False,H01,False
False,True,False,True,MTR Sai Ying Pun Station  (concourse),True,True,6:00pm,False,NA,True,Around 06:00 - midnight 01:00 (Follows Station First/Last Trains Service Hours),,,,,MTR Sai Ying Pun Station,,False,False,H01,False
True,True,False,False,52 Des Voeux Road West,True,True,5:00pm,True,273,False,"ATM & Cash Deposit Machine : 24-hours <br/> Cheque Deposit Machine : 09:00 - 17:00 (Mon. - Fri.) , 09:00 - 13:00 (Sat.)",Accounts Opening or Enquiry (Personal) / Counter Service /  Wealth Management /  Safe Deposit Box Service,09:00 - 13:00,,09:00 - 17:00,Des Voeux Road West Branch,BR,True,False,H01,True
True,True,False,False,"Shop 9-10, 1/F, Tung Ning Building, 251 Des Voeux Road Central",True,True,5:30pm,True,239,True,24-hours,Accounts Opening or Enquiry (Personal) / Counter Service /  Wealth Management,09:00 - 13:00,,09:00 - 17:00,Sheung Wan Branch,BR,False,False,H01,True
False,True,False,False,"Island Line, Sheung Wan Station (near Exit B)",True,False,N,True,331,False,Around 06:00 - midnight 01:00 (Follows Station First/Last Trains Service Hours),Counter Service,10:00 - 14:00,,10:00 - 18:00,MTR Sheung Wan Station (Central) (MTR Station Office),MTR,False,False,H01,False
False,True,False,False,"Island Line, Sheung Wan Station (near Exit E)",False,False,N,True,332,True,Around 06:00 - midnight 01:00 (Follows Station First/Last Trains Service Hours),Counter Service,10:00 - 14:00,,10:00 - 18:00,MTR Sheung Wan Station (East) (MTR Station Office),MTR,False,False,H01,False
False,True,False,False,MTR Sheung Wan Station (near Exit B),False,False,N,False,NA,True,Around 06:00 - midnight 01:00 (Follows Station First/Last Trains Service Hours),,,,,MTR Sheung Wan Station,,False,False,H01,False
True,True,True,False,83 Des Voeux Road Central (With Foreign Currency ATM & Voice Navigation ATM),True,True,5:00pm,True,280,True,"ATM : 24-hours<br/>Cash / Cheque Deposit Machine & Foreign Currency / RMB ATM : 09:00 - 19:00 (Mon. - Fri.) , 09:00 - 13:00 (Sat.)",Accounts Opening or Enquiry (Personal) / Counter Service /  Wealth Management / Securities Service / Safe Deposit Box Service,09:00 - 13:00,,09:00 - 17:00,Head Office,BR,True,True,H01,True
