district,address,tel,atm,atm_with_rmb,atm_cash_deposit,atm_cheque_deposit
Head Office,45 Des Voeux Road Central ,(852) 2530 5798,Y,Y,Y,Y
Central District Branch,189 Des Voeux Road Central ,(852) 2544 7486,Y,Y,Y,Y
Western District Branch,262 Queen's Road West ,(852) 2858 9214,Y,Y,N,N
Kennedy Town Branch,28 Catchick Street ,(852) 2816 6026,Y,Y,N,N
Johnston Road Branch,118 Johnston Road ,(852) 2575 2165,Y,Y,N,N
Happy Valley Branch,44 King Kwong Street ,(852) 2834 5305,Y,Y,N,N
Causeway Bay Branch,262 Gloucester Road ,(852) 2576 4202,Y,Y,Y,Y
Fortress Hill Branch,101 King's Road ,(852) 2512 8966,Y,Y,N,N
North Point Branch,361 King's Road ,(852) 2510 8017,Y,Y,Y,Y
Quarry Bay Branch,1A Westlands Road ,(852) 2565 7444,Y,Y,N,N
Sai Wan Ho Branch,123 Shaukeiwan Road ,(852) 2513 1623,Y,Y,N,N
Aberdeen Branch,201 Aberdeen Main Road ,(852) 2552 4225,Y,Y,N,N
Tsim Sha Tsui Branch,4 Carnarvon Road ,(852) 2724 3487,Y,Y,N,N
Express Rail Link Branch,"Shop No. WEK G-1, G/F Hong Kong West Kowloon Station",(852) 2967 9072,Y,Y,Y,Y
Mongkok Branch,"Basement, CMB Wing Lung Bank Centre, 636 Nathan Road ",(852) 2782 5068,Y,Y,Y,Y
Prince Edward Branch,17 Lai Chi Kok Road ,(852) 2397 4546,Y,Y,Y,Y
Sham Shui Po Branch,111 Tai Po Road ,(852) 2386 6233,Y,Y,N,N
Mei Foo Sun Chuen Branch,"Shop N94, 1/F, Mount Sterling Mall ",(852) 2370 0660,Y,Y,N,N
Hunghom Branch,28 Wuhu Street ,(852) 2333 0231,Y,Y,N,N
To Kwa Wan Branch,64 To Kwa Wan Road ,(852) 2333 5377,Y,Y,N,N
San Po Kong Branch,8 Shung Ling Street ,(852) 2352 4660,Y,Y,N,N
Tsz Wan Shan Branch,25 Fung Tak Road ,(852) 2353 1156,Y,Y,N,N
Kowloon Bay Branch,19 Lam Lok Street ,(852) 2750 2210,Y,Y,N,N
Kwun Tong Branch,339 Ngau Tau Kok Road ,(852) 2341 9454,Y,Y,N,N
Kwun Tong Shing Yip Street Branch,"Shop 149, 1/F, E Plaza, Legend Tower, 7 Shing Yip Street ",(852) 2331 2525,Y,Y,N,N
Lam Tin Sceneway Plaza Branch,"Shop 59, 3/F, Sceneway Plaza, 8 Sceneway Road ",(852) 2349 9081,Y,Y,N,N
Tsuen Wan Branch,251 Sha Tsui Road ,(852) 2412 4092,Y,Y,Y,Y
Tuen Mun Branch,42 Tuen Mun Heung Sze Wui Road ,(852) 2458 6070,Y,Y,N,N
Yuen Long Branch,37 On Ning Road ,(852) 2479 7071,Y,Y,N,N
Sheung Shui Branch,128 San Fung Avenue ,(852) 2673 2737,Y,Y,Y,Y
Tseung Kwan O Metro City Branch,"Shop 238, Level 2 Metro City Phase 1 ",(852) 2706 7762,Y,Y,N,N
Tai Wai Branch,8 Tai Wai Road ,(852) 2605 5528,Y,Y,N,N
Shatin Plaza Branch,"Shop 2, Level 1, Shatin Plaza, 21-27 Sha Tin Centre Street, Sha Tin, New Territories",(852) 2605 8960,Y,Y,N,N
Tai Po Branch,"Shop 12, G/F, Treasure Garden, 1 On Chee Road ",(852) 2662 2945,Y,Y,N,N
